node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
COTL1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
TRAF3,protein,8,,,1.354132813346333e-05,0.008848062790504029,0.01528901440859072,4,4
IL1B,protein,3,,,0.0017207642725598521,0.009470589663604369,0.000626828091707442,2,3
CEBPD,protein,2,,,0.0,0.009868951780947188,0.0048646854679147145,2,2
RELA,protein,7,,,0.014052271461070631,0.009960691275917888,0.003455742057189364,3,2
RIPK1,protein,1,,,0.0,0.008536066179045327,0.0004953040417357811,1,5
IRF2,protein,3,,,0.005776311445388471,0.010345802777344358,0.000718143146905892,3,4
AZI2,protein,1,,,0.0,0.008692518112294125,0.000461446398053071,1,5
MBL2,protein,1,,,0.0,0.010094955190540685,0.0003101124749018305,1,4
CXCR1,receptor,11,,,0.023661697644066837,0.009433938774813331,0.006235583942011626,2,2
LGALS9,protein,1,,,0.0,0.010226663503845972,0.0005540749534375384,1,2
EP300,protein,1,,,0.0,0.005820262822858082,0.002058726465113602,1,2
GATA3,protein,12,,,0.005199870003249918,0.004996013361230009,0.015606612884903875,4,3
PIK3R1,protein,6,,,0.01065403183943971,0.010336809478911777,0.001378061509209156,4,0
HRAS,protein,1,,,0.0,0.010422325314400755,0.00036817546366726115,1,0
TIRAP,protein,3,,,0.0,0.009343361681116746,0.008012657974698315,3,4
ERAP1,protein,1,,,0.0,0.009380213096089598,0.0003260158233222304,1,5
TNFRSF1A,receptor,27,,,0.10177483286132132,0.00966700947540058,0.014227442792005647,3,5
FLOT1,protein,2,,,0.0034801213303000756,0.009874548464421618,0.0013441560231529153,1,2
ARHGDIA,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
GZMB,protein,1,,,0.0,0.009216718134567524,0.0009553134239274011,1,2
RAC1,protein,2,,,0.01563684866211678,0.010542445960350148,0.0004539373642224007,2,3
CXCR2,receptor,20,,,0.06206506543685614,0.009753064791901278,0.012101967472297179,2,2
ARPC5,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
IKBKB,protein,1,,,0.0,0.008772914598235738,0.0004445175762117159,1,5
