node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
ANXA5,protein,1,,,0.0,0.006718156493440636,0.0007447454169191414,1,0
IFNGR2,cytokine,3,,,0.005750355556335926,0.006859324883703264,0.0012990327182360757,2,0
AP2M1,protein,1,,,0.0,0.006600482435261632,0.0008677124140108667,1,1
IFNAR1,cytokine,13,,,0.06935470183016405,0.006927313461888326,0.007770176276280054,4,1
IRF2,protein,6,,,0.015783482286563774,0.006962492687464635,0.00215291495485393,5,0
CXCR1,receptor,3,,,0.0028921508378253412,0.006663964364863615,0.0011111512332616605,3,1
NFATC1,protein,8,,,0.0030604182396010743,0.00688674224334016,0.0049543540816664846,5,0
EP300,protein,11,,,0.0,0.006178956889945458,0.009910701237926442,5,0
GATA3,protein,4,,,0.0011237336049022878,0.006941791073889342,0.007868332796919782,4,0
PIK3R1,protein,1,,,0.0,0.0065235042036167175,0.0006586498820423802,1,0
TNFRSF1A,receptor,1,,,0.0,0.0017197006122829008,0.008862417077490626,1,0
CASP1,protein,3,,,0.030274963566449528,0.00684489800536278,0.0035724121467277017,2,2
GZMB,protein,1,,,0.0,0.006973493552496127,0.0008174553167125659,1,2
CXCR2,receptor,4,,,0.0027879713682041917,0.006660107266256533,0.0016150585895332663,3,1
IKBKB,protein,1,,,0.0,0.00540232648287909,0.0017633271914640934,1,0
ATF4,protein,1,,,0.0,0.007031784829708767,0.0004759522838664099,1,0
ATF1,protein,1,,,0.0,0.006150764558673324,0.0010643340972070253,1,0
FOS,protein,4,,,0.0019870185357517022,0.007037314049154185,0.0013605815434091133,4,0
ATF2,protein,3,,,0.0,0.0066903949397268524,0.0015048766259294145,3,0
CREBBP,protein,8,,,0.0,0.006251369819213141,0.004458491067445866,5,0
IFNB1,cytokine,23,,,0.04660041320621096,0.006934171597633136,0.011261705333576153,5,0
IFNG,cytokine,20,,,0.06307569399329273,0.007034394766875378,0.014681330891537099,5,0
SMAD3,protein,1,,,0.0,0.00633806800787713,0.0007477084932840836,1,2
ELAVL1,protein,4,,,0.20254215464213177,0.007217665026376622,0.0008639572715416469,4,0
HNRNPD,protein,3,,,0.0,0.007085756523255466,0.0015410588545572183,3,1
